date,open,high,low,close
2021-01-01,90.33,90.45,97.10,90.11
2021-01-04,97.07,102.99,104.30,100.20
2021-01-05,102.21,100.00,100.60,98.26
2021-01-06,98.60,101.00,102.00,99.50
2021-01-07,99.85,101.00,101.29,97.00
2021-01-08,97.94,98.85,99.00,97.75
2021-01-11,98.38,100.00,100.25,97.02
2021-01-12,97.39,97.40,99.26,97.10
2021-01-13,99.04,100.01,100.49,98.25
2021-01-14,98.76,98.90,98.90,97.39
2021-01-15,97.70,98.09,98.30,97.43
2021-01-18,97.66,97.00,97.10,94.50
2021-01-19,94.92,94.70,97.50,93.77
2021-01-20,94.92,95.49,95.50,92.80
2021-01-21,93.40,93.50,94.70,93.50
2021-01-22,94.23,94.00,94.39,92.91
2021-01-25,93.41,93.55,94.49,92.96
2021-01-26,93.05,93.12,94.08,92.92
2021-01-27,93.99,94.29,94.30,93.10
2021-01-28,93.27,93.10,93.70,92.01
2021-01-29,92.30,92.35,93.25,91.45
2021-02-01,91.67,92.00,92.49,91.60
2021-02-02,91.85,93.20,94.79,91.98
2021-02-03,93.39,94.50,94.65,92.95
2021-02-04,93.06,95.11,96.25,93.83
2021-02-08,94.10,94.90,95.39,93.90
2021-02-09,94.08,95.20,95.20,94.01
2021-02-10,94.33,94.30,94.50,92.70
2021-02-11,93.11,93.50,93.50,91.11
2021-02-12,91.54,91.21,91.50,90.00
2021-02-15,90.17,91.50,92.50,91.50
2021-02-16,92.13,92.53,94.25,92.52
2021-02-17,93.05,93.35,94.25,92.20
2021-02-18,92.40,93.38,93.38,91.00
2021-02-19,91.48,91.02,92.49,91.02
2021-02-22,91.84,91.68,92.40,90.00
2021-02-23,90.26,92.00,93.45,91.52
2021-02-24,91.76,91.55,91.76,90.25
2021-02-25,90.61,91.38,91.87,90.99
2021-02-26,91.12,91.00,91.15,90.00
2021-03-01,90.42,91.00,91.00,89.30
2021-03-02,90.72,90.10,92.94,90.00
2021-03-03,91.13,91.13,91.49,90.10
2021-03-04,90.69,89.00,90.49,88.55
2021-03-05,89.63,90.28,91.35,89.75
2021-03-08,90.89,92.80,93.10,89.89
2021-03-09,90.11,90.35,90.35,87.22
2021-03-10,87.70,88.00,88.20,86.21
2021-03-11,86.67,86.06,87.00,85.00
2021-03-12,85.39,85.75,87.40,85.50
2021-03-15,86.47,88.00,88.88,87.60
2021-03-16,88.01,88.03,88.15,87.10
2021-03-17,87.29,88.00,89.40,87.51
2021-03-18,88.81,88.89,88.90,86.40
2021-03-19,86.64,85.21,87.00,85.00
2021-03-24,92.54,91.48,92.25,90.25
2021-03-25,91.69,92.10,93.52,90.81
2021-03-26,90.94,91.00,91.20,90.01
2021-03-29,90.22,90.25,90.26,87.50
2021-03-30,87.78,87.60,88.40,87.01
2021-03-31,87.45,87.65,88.40,87.00
2021-04-01,87.33,87.30,87.69,86.50
2021-04-02,86.96,87.67,87.69,86.00
2021-04-05,86.23,86.95,86.95,85.00
2021-04-06,85.07,85.74,86.45,85.00
2021-04-07,86.10,86.49,86.49,84.49
2021-04-08,84.71,85.24,85.58,84.80
2021-04-09,83.97,85.87,85.90,83.97
2021-04-12,85.39,85.84,87.25,84.70
2021-04-13,85.42,85.65,85.75,85.01
2021-04-14,85.30,85.13,86.20,85.13
2021-04-15,86.03,86.94,87.15,86.00
2021-04-16,86.28,86.22,86.56,85.81
2021-04-19,85.97,85.30,85.30,84.61
2021-04-20,84.97,85.20,85.74,85.00
2021-04-21,85.16,85.39,85.39,84.51
2021-04-22,84.69,84.69,84.69,82.90
2021-04-23,83.02,83.00,83.00,81.90
2021-04-26,82.38,82.00,88.55,82.00
2021-04-27,88.55,88.49,90.00,84.01
2021-04-28,84.75,85.00,85.45,83.00
2021-04-29,83.19,83.25,83.90,82.10
2021-04-30,82.56,82.51,82.98,80.81
2021-05-03,81.17,81.01,82.35,80.51
2021-05-04,81.98,82.48,82.48,81.50
2021-05-05,81.90,84.00,84.20,82.85
2021-05-06,83.25,84.00,84.00,82.45
2021-05-17,82.60,83.01,83.04,81.00
2021-05-18,81.35,81.75,83.60,81.50
2021-05-19,82.72,83.00,84.50,82.50
2021-05-20,82.62,82.60,82.74,82.00
2021-05-21,82.18,83.00,84.48,82.50
2021-05-24,84.18,85.50,86.79,85.25
2021-05-25,85.54,85.61,86.80,85.00
2021-05-26,86.15,85.51,88.61,85.51
2021-05-27,88.10,88.60,89.00,87.25
2021-05-28,87.74,87.74,93.74,87.30
2021-05-31,90.67,91.99,93.00,90.85
2021-06-01,92.38,93.00,95.45,92.90
2021-06-02,94.87,94.90,95.10,93.00
2021-06-03,93.75,94.00,94.70,93.50
2021-06-04,93.68,94.25,94.38,93.02
2021-06-07,93.82,95.31,95.40,92.75
2021-06-08,93.21,93.00,93.25,92.02
2021-06-09,92.99,93.89,93.95,91.30
2021-06-10,91.50,91.48,92.00,90.50
2021-06-11,90.68,90.70,91.49,89.90
2021-06-14,90.07,91.69,95.00,90.80
2021-06-15,94.38,94.40,94.78,92.20
2021-06-16,92.37,93.01,93.45,91.09
2021-06-17,91.25,91.40,91.80,90.12
2021-06-18,90.34,91.82,91.95,90.00
2021-06-21,90.32,91.10,91.10,90.00
2021-06-22,90.05,90.45,90.85,89.92
2021-06-23,90.00,90.60,91.00,89.90
2021-06-24,90.19,90.49,90.50,90.00
2021-06-25,90.26,90.06,90.40,88.70
2021-06-28,89.01,89.00,89.20,87.70
2021-06-29,87.92,88.10,88.51,84.96
2021-06-30,85.37,85.40,87.45,85.40
2021-07-01,86.83,90.00,90.00,88.01
2021-07-02,88.72,88.64,89.00,87.75
2021-07-05,87.84,87.80,88.10,86.70
2021-07-06,86.87,87.00,87.60,86.00
2021-07-07,86.34,85.55,86.15,85.15
2021-07-08,85.55,86.00,88.00,85.65
2021-07-09,86.93,87.00,87.00,85.66
2021-07-12,86.05,86.05,86.71,85.70
2021-07-13,86.02,85.73,86.39,85.20
2021-07-14,85.40,86.09,86.09,85.05
2021-07-15,85.20,85.10,86.50,85.00
2021-07-16,85.64,85.98,85.99,85.50
2021-07-19,85.67,86.37,86.55,85.30
2021-07-26,85.51,85.97,85.97,83.00
2021-07-27,83.23,83.90,84.20,83.55
2021-07-28,83.65,84.00,84.00,83.00
2021-07-29,83.16,83.02,83.75,82.60
2021-07-30,82.97,83.64,84.50,81.74
2021-08-02,81.86,82.10,82.97,82.00
2021-08-03,82.88,82.60,82.82,82.20
2021-08-04,82.64,82.89,82.90,82.00
2021-08-05,82.04,82.20,82.50,81.80
2021-08-06,82.00,82.45,82.45,81.85
2021-08-09,81.98,82.00,82.35,81.00
2021-08-10,81.33,81.33,81.49,80.81
2021-08-11,81.01,81.25,81.75,80.85
2021-08-12,80.97,81.50,81.50,80.00
2021-08-13,80.06,80.40,80.45,79.79
2021-08-16,79.92,79.92,80.00,78.00
2021-08-17,78.98,78.51,79.40,78.28
2021-08-20,78.97,78.60,79.39,78.30
2021-08-23,78.78,79.15,84.30,79.15
2021-08-24,82.41,82.50,82.82,80.00
2021-08-25,80.53,80.67,81.25,79.80
2021-08-26,79.96,79.98,80.49,79.51
2021-08-27,79.91,80.00,80.00,78.84
2021-08-30,79.46,80.00,82.77,79.46
2021-08-31,80.89,81.47,83.39,80.70
2021-09-01,81.76,83.02,83.02,81.80
2021-09-02,81.96,81.60,81.90,80.55
2021-09-03,80.84,81.01,81.70,80.04
2021-09-06,80.25,80.11,81.25,80.10
2021-09-07,80.37,80.12,80.80,79.80
2021-09-08,79.91,80.00,80.79,79.00
2021-09-09,79.05,79.01,79.89,78.85
2021-09-10,78.93,79.50,79.60,77.89
2021-09-13,78.16,78.25,78.60,78.00
2021-09-14,78.25,78.30,78.55,77.25
2021-09-15,77.64,78.00,78.01,76.70
2021-09-16,76.84,77.69,79.10,76.75
2021-09-17,78.30,78.74,79.79,77.10
2021-09-20,77.53,77.53,77.85,76.60
2021-09-21,76.73,77.00,77.50,75.53
2021-09-22,76.21,76.21,76.35,74.52
2021-09-23,75.45,75.30,76.00,73.00
2021-09-24,73.75,74.00,74.90,72.90
2021-09-27,74.08,74.30,74.85,73.00
2021-09-28,73.92,74.01,74.77,72.53
2021-09-29,73.43,73.20,74.00,72.00
2021-09-30,72.50,72.50,76.40,71.05
2021-10-01,74.91,73.01,74.85,73.00
2021-10-04,74.37,74.01,74.01,72.50
2021-10-05,72.90,73.06,74.20,72.00
2021-10-06,72.48,72.25,74.48,71.40
2021-10-07,71.79,72.00,72.95,71.60
2021-10-11,71.90,72.21,73.90,72.20
2021-10-12,73.21,73.45,74.50,72.71
2021-10-13,74.00,74.44,75.20,72.51
2021-10-14,72.85,73.50,74.75,72.05
2021-10-15,72.32,73.00,75.99,72.32
2021-10-18,75.39,75.98,79.90,75.05
2021-10-20,77.18,77.01,78.10,77.01
2021-10-21,77.52,78.80,79.80,77.60
2021-10-22,78.86,79.15,79.20,76.00
2021-10-25,76.63,77.00,77.50,76.50
2021-10-26,77.25,77.88,77.99,75.80
2021-10-27,75.99,76.10,78.04,76.00
2021-10-28,76.91,77.00,77.40,76.05
2021-10-29,76.36,77.00,77.00,75.00
2021-11-01,75.86,76.01,79.10,76.01
2021-11-02,78.43,78.99,79.49,77.61
2021-11-03,78.18,77.51,78.00,75.70
2021-11-04,76.05,75.61,76.65,75.61
2021-11-05,76.45,76.90,77.90,76.25
2021-11-08,76.59,77.00,77.00,74.90
2021-11-09,75.04,75.01,75.51,73.00
2021-11-10,73.10,73.50,74.85,73.50
2021-11-11,74.33,74.35,74.45,72.81
2021-11-12,73.05,73.90,73.90,71.95
2021-11-15,72.06,71.87,72.89,71.70
2021-11-16,71.89,72.05,76.89,72.05
2021-11-17,75.75,75.75,75.99,74.01
2021-11-18,74.68,74.10,74.80,73.89
2021-11-19,74.22,73.75,77.00,73.75
2021-11-22,76.53,76.50,76.50,74.00
2021-11-23,74.20,74.74,74.74,72.51
2021-11-24,72.83,73.99,74.79,71.51
2021-11-25,72.61,72.30,73.00,71.10
2021-11-26,71.72,71.90,72.00,70.01
2021-11-29,70.45,70.01,75.30,69.05
2021-11-30,74.79,75.49,78.50,74.15
2021-12-02,76.70,76.50,76.50,71.00
2021-12-03,71.93,72.00,73.10,70.02
2021-12-06,71.37,71.40,75.80,71.00
2021-12-07,75.12,74.90,79.90,74.50
2021-12-08,77.98,78.50,79.73,76.80
2021-12-09,78.34,79.00,82.90,78.30
2021-12-10,81.60,81.90,83.49,80.01
2021-12-13,80.98,81.50,81.60,78.45
2021-12-14,78.60,79.90,79.90,76.80
2021-12-15,78.39,78.95,83.74,77.51
2021-12-16,82.13,82.75,82.75,79.50
2021-12-17,79.96,80.10,81.99,78.80
2021-12-20,81.22,80.80,82.10,80.30
2021-12-21,81.87,82.19,82.50,79.75
2021-12-22,79.91,80.02,80.80,79.52
2021-12-23,80.35,80.90,82.00,80.40
2021-12-24,80.48,80.51,81.25,79.41
2021-12-27,79.87,80.65,80.65,78.56
2021-12-28,78.82,78.90,80.10,78.85
2021-12-29,79.15,78.60,79.59,78.60
2021-12-30,78.82,79.40,79.49,77.50
2021-12-31,78.14,78.15,79.98,77.65
2022-01-03,79.04,79.25,79.79,78.60
2022-01-04,78.94,79.19,80.15,79.10
2022-01-05,79.62,79.51,80.20,79.00
2022-01-06,79.06,79.38,79.38,78.01
2022-01-07,78.18,78.87,78.87,78.03
2022-01-10,78.59,78.79,79.60,78.10
2022-01-11,78.51,78.88,78.88,77.91
2022-01-12,78.04,78.10,79.85,78.06
2022-01-13,78.86,78.90,79.24,78.50
2022-01-14,78.75,79.20,79.90,78.41
2022-01-17,79.62,79.70,80.00,78.70
2022-01-18,79.45,79.89,81.30,79.50
2022-01-19,80.14,80.60,81.20,78.61
2022-01-20,79.50,78.80,80.65,78.51
2022-01-21,80.42,80.55,80.85,79.60
2022-01-24,80.19,80.60,80.70,79.75
2022-01-25,80.37,80.25,80.41,79.55
2022-01-26,79.62,79.95,80.17,79.05
2022-01-27,79.20,79.26,80.10,78.51
2022-01-28,78.82,79.27,79.60,78.50
2022-01-31,78.59,79.30,80.00,78.75
2022-02-01,79.61,79.40,81.00,79.17
2022-02-02,80.72,80.97,82.75,80.26
2022-02-03,82.46,83.00,83.00,81.35
2022-02-04,81.59,82.30,83.60,81.10
2022-02-07,81.38,81.49,83.75,81.49
2022-02-08,82.73,82.51,83.23,81.90
2022-02-09,82.05,82.00,83.98,81.50
2022-02-11,82.29,82.50,83.30,81.70
2022-02-14,82.07,82.49,82.50,81.70
2022-02-15,81.86,81.56,81.98,80.30
2022-02-16,80.62,81.49,81.49,80.01
2022-02-17,80.29,80.98,81.98,79.60
2022-02-18,80.14,80.00,81.70,79.60
2022-02-21,81.30,81.89,81.89,80.20
2022-02-22,80.33,80.40,80.40,78.90
2022-02-23,79.81,80.47,80.47,78.90
2022-02-24,79.80,79.00,80.00,76.50
2022-02-25,78.20,77.98,78.72,75.67
2022-02-28,76.64,77.85,78.50,75.60
2022-03-01,78.14,84.00,84.00,81.75
2022-03-02,83.20,81.50,84.50,81.50
2022-03-03,84.22,84.55,89.00,84.00
2022-03-04,87.51,87.50,88.50,86.60
2022-03-07,87.08,87.00,88.35,83.51
2022-03-08,84.58,84.35,85.59,81.55
2022-03-09,80.82,81.45,83.00,80.00
2022-03-10,81.41,82.70,82.75,81.30
2022-03-11,82.21,82.50,82.50,80.60
2022-03-14,80.97,81.20,81.28,78.75
2022-03-15,79.13,79.89,79.89,77.26
2022-03-16,78.08,77.98,78.88,77.65
2022-03-17,77.96,78.00,78.10,76.60
2022-03-18,76.85,75.00,76.00,72.00
2022-03-21,72.43,73.65,75.50,73.06
2022-03-22,73.35,74.97,75.00,71.61
2022-03-24,72.15,72.48,73.00,71.57
2022-03-25,72.88,73.47,73.47,72.02
2022-03-28,72.42,72.25,73.55,71.49
2022-03-29,73.35,73.96,74.49,73.34
2022-03-30,73.79,73.48,73.50,72.00
2022-03-31,72.94,73.49,74.00,72.35
2022-04-01,72.80,73.97,73.99,72.50
2022-04-04,73.18,71.27,72.50,68.97
2022-04-05,70.40,70.65,71.50,69.90
2022-04-06,70.19,70.99,71.70,69.70
2022-04-07,69.94,70.07,70.64,69.01
2022-04-08,69.40,70.00,71.50,70.00
2022-04-11,71.23,73.25,74.50,73.00
2022-04-12,74.18,74.50,74.60,73.05
2022-04-13,73.79,73.90,75.80,73.05
2022-04-14,73.58,73.10,74.00,72.90
2022-04-15,73.09,73.48,73.80,72.41
2022-04-18,73.49,73.49,79.00,73.49
2022-04-19,79.00,80.50,80.50,76.51
2022-04-20,76.91,77.37,77.40,75.01
2022-04-21,75.17,75.17,75.17,74.51
2022-04-22,75.02,75.45,76.90,74.75
2022-04-25,76.14,76.99,77.98,76.30
2022-04-26,76.49,76.98,76.98,75.00
2022-04-27,75.09,75.00,77.75,74.00
2022-04-28,75.10,75.00,75.01,73.40
2022-05-06,73.88,73.31,74.50,72.50
2022-05-09,72.59,72.60,72.60,69.81
2022-05-10,70.03,70.00,71.09,69.25
2022-05-11,69.52,69.97,70.00,68.30
2022-05-12,69.63,69.80,69.80,67.51
2022-05-13,69.07,69.50,72.25,69.50
2022-05-16,71.36,70.78,70.78,68.81
2022-05-17,69.09,69.74,69.74,68.75
2022-05-18,68.90,68.78,69.74,68.51
2022-05-19,68.86,68.80,68.99,67.99
2022-05-20,68.07,68.58,68.61,68.01
2022-05-23,68.33,67.60,68.90,67.00
2022-05-24,67.33,67.67,67.98,66.60
2022-05-25,66.78,67.53,67.53,65.15
2022-05-26,65.67,65.99,66.35,65.10
2022-05-27,66.02,67.90,69.09,66.00
2022-05-30,66.69,67.17,69.39,67.17
2022-05-31,68.03,68.59,69.25,68.11
2022-06-01,68.72,68.60,69.10,67.25
2022-06-02,67.47,67.69,68.00,65.91
2022-06-03,66.11,66.50,66.79,64.71
2022-06-07,66.96,67.00,68.30,67.00
2022-06-08,67.58,67.25,67.80,66.65
2022-06-09,67.15,67.69,69.50,67.00
2022-06-10,67.71,68.00,69.75,66.75
2022-06-13,69.08,68.90,69.00,65.65
2022-06-14,66.02,65.77,67.57,65.77
2022-06-15,66.83,66.83,68.50,66.70
2022-06-16,68.06,68.48,70.45,67.52
2022-06-17,69.48,69.88,72.30,69.88
2022-06-20,71.01,71.33,71.94,70.00
2022-06-21,70.22,71.39,72.09,70.00
2022-06-22,71.88,72.62,72.90,71.25
2022-06-23,72.01,72.02,73.14,70.99
2022-06-24,71.55,71.25,71.55,66.19
2022-06-27,67.57,67.98,68.51,67.01
2022-06-28,67.41,68.40,69.05,66.56
2022-06-29,67.25,67.49,67.80,66.00
2022-06-30,66.20,66.40,68.90,65.28
2022-07-01,67.51,67.50,67.51,66.55
2022-07-04,67.02,67.00,67.40,66.55
2022-07-05,66.71,67.05,67.05,66.10
2022-07-06,66.20,66.00,66.46,65.98
2022-07-07,66.12,66.02,69.60,66.02
2022-07-13,68.62,68.95,71.94,67.91
2022-07-14,71.32,72.00,73.20,71.24
2022-07-15,72.11,72.00,72.45,70.71
2022-07-18,70.95,69.95,70.20,68.51
2022-07-19,69.31,69.31,69.79,65.06
2022-07-20,66.47,66.70,69.20,65.75
2022-07-21,68.64,68.40,69.48,67.51
2022-07-22,68.03,68.06,69.70,67.21
2022-07-25,68.33,69.50,69.50,67.00
2022-07-26,67.87,67.99,68.70,67.50
2022-07-27,67.94,68.43,69.60,67.50
2022-07-28,68.29,68.42,70.50,68.42
2022-07-29,69.32,69.50,69.70,68.25
2022-08-01,68.45,68.74,69.00,68.00
2022-08-02,68.05,68.10,68.67,67.40
2022-08-03,67.92,68.68,70.25,68.20
2022-08-04,69.26,68.61,70.50,68.61
2022-08-05,69.57,69.30,70.55,69.30
2022-08-10,70.32,72.40,74.84,71.60
2022-08-11,73.35,73.75,73.75,72.40
2022-08-12,72.63,73.00,75.19,72.50
2022-08-15,74.31,75.49,75.49,73.75
2022-08-16,74.31,74.45,75.48,73.12
2022-08-17,73.61,74.00,74.10,72.90
2022-08-18,73.20,73.65,73.74,71.80
2022-08-19,71.99,72.49,72.49,71.50
2022-08-22,71.63,71.51,72.25,70.46
2022-08-23,70.60,71.30,72.55,71.17
2022-08-24,72.24,72.00,72.69,71.30
2022-08-25,71.42,71.69,71.75,70.45
2022-08-26,70.67,70.39,71.12,69.60
2022-08-29,69.72,70.20,70.20,68.40
2022-08-30,68.66,70.00,70.79,68.01
2022-08-31,68.16,68.15,69.79,68.01
2022-09-01,69.34,69.75,70.00,68.80
2022-09-02,69.00,68.75,69.39,67.80
2022-09-05,67.93,68.40,68.40,66.81
2022-09-06,66.85,66.70,67.40,66.70
2022-09-07,67.17,67.29,67.60,66.90
2022-09-08,67.03,67.40,67.45,67.00
2022-09-09,67.05,67.49,67.49,66.49
2022-09-12,66.71,66.90,67.32,65.95
2022-09-13,66.00,66.10,66.50,65.99
2022-09-14,66.06,66.10,66.90,65.86
2022-09-15,66.57,66.89,66.90,65.10
2022-09-16,65.44,65.75,65.75,64.51
2022-09-19,65.08,65.15,65.65,64.58
2022-09-20,64.85,65.05,65.50,59.99
2022-09-21,60.21,60.25,60.95,59.00
2022-09-22,59.92,59.30,60.18,57.81
2022-09-23,59.37,60.19,60.25,56.13
2022-09-26,58.27,58.25,59.05,57.60
2022-09-27,58.60,58.95,62.90,58.25
2022-09-28,60.95,61.25,63.30,61.00
2022-09-29,61.59,61.10,61.98,60.21
2022-09-30,61.32,60.70,62.50,59.90
2022-10-03,61.45,61.01,61.39,60.32
2022-10-04,60.44,60.55,60.55,59.20
2022-10-05,59.43,59.40,59.94,58.05
2022-10-06,58.30,58.74,59.36,58.51
2022-10-07,59.22,58.80,59.08,58.50
2022-10-10,58.64,58.97,60.02,58.60
2022-10-11,58.78,58.81,59.90,58.67
2022-10-12,59.24,59.23,59.67,58.70
2022-10-13,59.31,59.50,60.30,59.26
2022-10-14,59.51,59.98,59.98,58.90
2022-10-17,58.49,58.50,58.89,56.80
2022-10-18,57.16,57.37,57.57,56.00
2022-10-19,56.39,56.65,57.00,56.20
2022-10-20,56.59,56.97,57.40,56.10
2022-10-21,56.24,56.35,57.00,55.13
2022-10-24,56.69,57.32,57.57,56.60
2022-10-25,56.69,56.58,57.20,56.10
2022-10-26,56.17,56.00,56.00,53.50
2022-10-27,54.18,54.48,54.48,52.50
2022-10-28,53.20,53.43,53.49,50.43
2022-10-31,51.05,51.02,51.97,50.80
2022-11-01,51.54,51.73,52.72,51.50
2022-11-02,52.42,52.69,53.97,52.30
2022-11-03,53.26,53.49,54.40,53.00
2022-11-04,53.12,52.46,52.65,51.91
2022-11-07,52.26,53.00,53.55,52.80
2022-11-08,52.84,53.00,53.79,52.50
2022-11-10,53.48,53.05,56.85,53.05
2022-11-11,55.75,55.76,59.70,55.01
2022-11-14,58.98,58.11,59.25,56.97
2022-11-15,57.15,57.04,60.90,57.00
2022-11-16,59.63,59.63,61.25,58.00
2022-11-17,58.52,58.50,59.30,57.60
2022-11-18,57.94,57.53,58.10,56.70
2022-11-21,56.99,56.60,57.64,56.20
2022-11-22,57.07,57.35,57.50,56.40
2022-11-23,56.52,56.84,57.10,56.40
2022-11-24,56.56,56.51,58.01,56.49
2022-11-25,57.40,58.25,58.90,57.11
2022-11-28,57.33,56.00,57.26,55.50
2022-11-29,56.06,55.81,57.24,55.75
2022-11-30,56.65,56.97,56.99,55.90
2022-12-01,56.49,56.62,56.90,55.86
2022-12-02,56.00,55.76,56.49,55.55
2022-12-05,55.86,55.99,56.20,54.60
2022-12-06,54.79,55.05,55.05,53.90
2022-12-07,54.76,54.61,55.18,54.50
2022-12-08,54.74,55.10,55.80,54.53
2022-12-09,55.01,55.00,57.15,54.90
2022-12-12,56.04,56.10,56.50,55.79
2022-12-13,56.30,56.25,56.44,55.70
2022-12-14,55.83,55.90,58.50,55.40
2022-12-15,57.19,57.19,57.20,53.16
2022-12-16,54.94,54.80,56.78,54.51
2022-12-19,55.93,55.21,56.90,54.50
2022-12-20,55.06,54.75,55.48,53.00
2022-12-21,53.39,52.99,54.04,50.51
2022-12-22,51.73,52.55,55.60,52.40
2022-12-23,54.65,54.50,58.15,54.25
2022-12-26,57.47,59.15,61.78,59.10
2022-12-27,61.78,62.30,64.50,60.50
2022-12-28,61.11,60.90,62.75,60.60
2022-12-29,62.28,62.20,64.29,62.20
2022-12-30,63.39,63.70,68.14,63.70
2023-01-02,68.14,69.00,73.25,69.00
2023-01-03,71.37,71.75,72.49,70.11
2023-01-04,71.33,72.00,72.30,69.85
2023-01-05,70.06,71.00,73.05,70.95
2023-01-06,71.32,71.60,76.66,71.10
2023-01-09,76.05,75.99,80.20,75.70
2023-01-10,78.99,81.00,81.90,76.30
2023-01-11,78.23,79.50,83.25,77.11
2023-01-12,82.12,83.25,84.15,81.13
2023-01-13,81.68,80.10,81.00,75.70
2023-01-16,76.11,75.70,75.70,71.51
2023-01-17,73.14,73.30,74.35,67.66
2023-01-18,68.30,68.30,70.50,66.25
2023-01-19,69.86,71.00,74.90,70.00
2023-01-20,74.08,74.00,76.25,72.50
2023-01-23,72.92,73.98,75.00,73.00
2023-01-24,74.55,74.50,79.50,74.50
2023-01-25,78.15,79.40,82.00,78.80
2023-01-26,80.17,80.75,81.78,78.81
2023-01-27,80.26,80.99,81.00,77.70
2023-01-30,78.65,79.65,80.00,75.55
2023-01-31,76.26,76.50,78.55,74.80
2023-02-01,77.53,78.24,80.90,76.12
2023-02-02,76.63,76.00,76.00,72.80
2023-02-03,75.35,75.50,75.90,73.90
2023-02-06,74.56,78.61,80.15,76.10
2023-02-07,80.15,83.00,85.60,80.25
2023-02-08,81.12,79.86,81.70,77.86
2023-02-09,80.05,81.50,85.00,80.71
2023-02-10,83.84,81.70,86.00,79.05
2023-02-13,80.01,79.00,81.90,77.91
2023-02-14,79.99,80.79,81.18,76.20
2023-02-15,76.81,76.50,78.17,75.91
2023-02-16,77.54,78.48,78.48,74.80
2023-02-17,75.31,75.47,75.95,73.81
2023-02-20,75.18,75.24,75.28,70.90
2023-02-21,71.19,72.48,72.48,71.40
2023-02-22,71.89,72.10,72.20,70.39
2023-02-23,70.53,70.00,70.00,67.51
2023-02-24,67.83,67.76,68.20,66.51
2023-02-27,66.64,66.62,67.40,65.00
2023-02-28,65.77,65.40,66.00,62.15
2023-03-01,62.93,62.70,62.98,60.46
2023-03-02,61.89,61.89,63.75,61.70
2023-03-03,62.96,61.66,67.68,61.55
2023-03-06,67.68,69.10,71.99,68.50
2023-03-07,70.11,71.00,71.48,68.55
2023-03-08,69.11,69.11,71.00,68.99
2023-03-09,69.78,70.50,70.73,70.03
2023-03-10,69.41,69.99,70.20,68.60
2023-03-13,68.73,70.99,73.50,70.50
2023-03-14,72.91,72.60,72.75,71.00
2023-03-15,71.73,71.11,72.25,70.76
2023-03-16,71.11,71.30,72.27,70.00
2023-03-17,70.25,70.25,70.25,68.72
2023-03-20,69.18,68.99,69.18,66.45
2023-03-21,66.65,66.90,69.18,66.51
2023-03-22,68.35,68.45,68.98,66.00
2023-03-24,66.27,66.20,66.20,64.45
2023-03-27,64.81,65.60,65.60,63.90
2023-03-28,64.08,64.29,65.00,63.50
2023-03-29,63.71,64.15,64.15,62.35
2023-03-30,62.60,63.05,64.15,63.05
2023-03-31,63.72,63.58,65.80,62.86
2023-04-03,63.96,63.89,64.77,63.30
2023-04-04,64.38,64.65,64.65,62.20
2023-04-05,63.02,63.80,64.05,62.50
2023-04-06,63.16,63.97,67.89,63.55
2023-04-07,67.88,68.50,69.30,65.30
2023-04-10,66.07,65.59,66.39,64.73
2023-04-11,65.05,65.00,65.25,63.90
2023-04-12,64.85,64.40,67.40,64.40
2023-04-13,66.98,67.99,68.75,66.75
2023-04-17,67.22,67.73,68.44,66.90
2023-04-18,67.17,67.00,67.86,66.50
2023-04-19,67.33,67.50,67.90,67.05
2023-04-20,67.41,68.00,68.48,67.10
2023-04-26,68.20,68.60,69.10,67.86
